"",,
VALORISATION DES AIDES EN NATURE ACCORDEES AUX ASSOCIATIONS EN 2016,,
NOM DES BENEFICIAIRES,"PRESTATIONS ENNATURE CHIFFREES",
"""BAMBINO BERTHELOT"" ASSOCIATION DE PARENTS D'ELEVES DE L'ECOLE MATERNELLE BERTHELOT A BORDEAUX","56,004 359,5234,00675,00400,0020 632,002 791,00631,0014 561,6715 042,003 888,00228 670,97124,0031 971,2374,001 517,004 146,0027,0012 532,00663,00214,0024,00339,00200,00185,1056,00796,053 848,861 478,005 391,0013 988,004 305,18564,0012 605,00332,00299,00118,67106,00340,00102,00178,00170,00356,0034,00621,004 482,14265,007 722,001 432,2617 008,0572,005 715,00178,00265,005 105,00587,00239,40670,005 920,005 951,68442,007 446,13",
"",,
1001 JEUNES BORDELAIS,,
"",,
2AA,,
"",,
2SI2LA,,
"",,
4 CATS,,
"",,
9-33,,
"",,
A TRAVERS CHANT,,
"",,
A2RUNNING,,
"",,
ABALONE CHASSE BORDEAUX,,
"",,
ABEILLES BORDELAISES,,
"",,
ACADEMIE BUSHIKAI KARATE DO,,
"",,
"ACADEMIE DES SCIENCES, BELLES LETTRES ET ARTS DE BORDEAUX",,
"",,
ACADEMIE PROSPECTIVE NOUVELLES TECHNOLOGIES,,
"",,
ACADEMIE YOUNUS,,
"",,
ACCOMPAGNEMENT ET RECHERCHE PSYCHO-SOCIO EDUCATIFS POUR LES JEUNES (ARPEJE),,
"",,
ACCOMPAGNER CONDUIRE TRANSMETTRE - ACT,,
"",,
ACCORDERIE BORDEAUX SUD,,
"",,
ACHATS GROUPES ASSOCIATIF POUR L'ECONOMIE SOLIDAIRE DE BORDEAUX - AGAPES,,
"",,
"ACIDD, ASSOCIATION COMMUNICATION ET INFORMATION POUR LE DEVELOPPEMENT DURABLE",,
"",,
ACTA GIRONDE - AGIR CONTRE LA TORTURE DES ANIMAUX,,
"",,
ACTION CONTRE LA FAIM,,
"",,
ACTION INTERNATIONALE POUR LA PAIX ET LE DEVELOPPEMENT,,
"",,
AD LUCEM THEATRE,,
"",,
"ADORA - ASSOCIATION POUR LE DEVELOPPEMENT ET L'ACCOMPAGNEMENT, EN AQUITAINE, DE L'ORIENTATION PERSONNELLE ETPROFESSIONNELLE, TOUT AU LONG DE LA VIE",,
"",,
AEP SAINT PROJET,,
"",,
AGENCE LOCALE DE L'ENERGIE ET DU CLIMAT (ALEC),,
"",,
AGENCE REGIONALE DE SANTE NOUVELLE AQUITAINE,,
"",,
AGORA DES ARTS,,
"",,
AIGUILLES ET CALAME,,
"",,
AIKIDO BORDEAUX BASTIDE,,
"",,
AIR ROLLER (ATTENTION INERTIE RENOUVELABLE),,
"",,
ALAM AMIS DU LIVRE ANCIEN ET MODERNE,,
"",,
ALGERIENS DE L'AQUITAINE,,
"",,
"ALLIANCE DEPARTEMENT 33, JUSQU'AU BOUT ACCOMPAGNER LA VIE...",,
"",,
ALLIANCE FRANCAISE DE BORDEAUX AQUITAINE,,
"",,
ALPTIS,,
"",,
ALTER INSERTION,,
"",,
AMEPI,,
"",,
AMICALE BORDELAISE TRACTION AVANT CITROEN,,
"",,
AMICALE COMORIENNE DE BORDEAUX,,
"",,
AMICALE DE LA RESIDENCE DU LAC,,
"",,
AMICALE DES ANCIENS DE MARIE-BRIZARD - AAMB,,
"",,
AMICALE DES ANCIENS DES NOUVELLES GALERIES DE BORDEAUX,,
"",,
AMICALE DES ANCIENS GUERILLEROS ESPAGNOLS EN FRANCE-FFI - SECTION DE LA GIRONDE,,
"",,
AMICALE DES AVEYRONNAIS DE BORDEAUX ET GIRONDE,,
"",,
AMICALE DES ETABLISSEMENTS SCOLAIRES LAIQUES DE BACALAN - ALB,,
"",,
"AMICALE DES PHILIPPEVILLOIS, CONSTANTINOIS ET LEURS AMIS - APCA",,
"",,
AMICALE DES RETRAITES U.G.R.R. - I.S.I.C.A. DE BORDEAUX,,
"",,
AMICALE DU PATRONAGE LAIQUE ET DU CONSEIL DE PARENTS D'ELEVES DU GROUPE SCOLAIRE NUYENS,,
"",,
AMICALE LAIQUE BORDEAUX CENTRE,,
"",,
AMICALE LAIQUE DAVID JOHNSTON LAGRANGE ALBERT BARRAUD NAUJAC,,
"",,
AMICALE LAIQUE DU GROUPE SCOLAIRE LEONARD-LENOIR - MONTAUD - NUITS,,
"",,
AMICALE LAIQUE LEONARD LENOIR,,
"",,
AMICALE NATIONALE DES RETRAITES DE L'AUDIOVISUEL,,
"",,
AMIS D'ARS ET FIDES BORDEAUX,,
"",,
AMIS D'ICI ET D'AILLEURS,,
"",,
AMIS DU CAPC MUSEE,,
"",,
AMITIES FRANCAISES,,
"",,
AMITIES GENEALOGIQUES BORDELAISES,,
"",,
AMNESTY INTERNATIONAL GROUPE 234 DE BORDEAUX CENTRE,,
"",,
AMOR DEL TANGO,,
"",,
ANCIENS BASTIDIENS-CLUB,,
