"","2,008","2,009","2,010","2,011","2,012","2,013","2,014","2,015","2,016","2,017"
"(en milliards )",,,,,,,,,,
"",Réal.,Réal.,Réal.,Réal.,Réal.,Réal.,Réal,Réal,Prév.,Prév
01 Agriculture et développement rural,26.5,49.2,39.1,35.2,68.2,81.7,140.5,111.2,96.1,103.1
01.0 Administration générale,9.2,8.5,9.2,7.0,10.0,21.4,62.8,47.7,49.5,51.8
01.1 Programme de développement et de promotion de l'agriculture,3.4,10.6,10.8,10.8,18.7,15.9,31.1,24.0,14.6,18.0
01.2 Formation et encadrement,8.3,8.4,8.3,10.3,13.5,18.4,19.2,19.4,12.0,14.7
01.3 Aménagement hydro-agricole,2.2,1.5,4.0,3.0,26.0,18.3,27.4,9.2,6.2,4.0
"01.4 Autres investissements en milieu rural (FRAR,FIMR)",3.3,20.2,6.8,4.1,0.0,7.7,0.0,10.9,13.9,14.5
02 Ressources Halieutiques et Production Animale,6.1,6.7,5.9,4.0,7.2,7.5,8.9,9.8,9.6,10.8
02.0 Administration générale / formation et encadrement,3.7,3.5,3.9,2.6,4.0,4.4,4.9,6.6,5.1,5.3
02.1 Appui à l'élevage et à la production laitière,1.9,2.3,1.8,1.2,2.9,1.7,2.7,2.7,1.9,2.0
02.2 Pêche et aquaculture,0.4,1.0,0.2,0.1,0.4,1.4,1.3,0.5,2.6,3.4
03 Education,496.9,533.1,590.1,529.2,651.2,756.3,818.8,991.6,"1,197.0","1,171.1"
03.0 Administration générale,18.7,19.5,24.9,24.7,19.8,19.5,23.5,26.2,37.0,37.7
03.1 Education préscolaire et enseignement primaire,313.5,336.7,366.7,301.1,379.2,449.2,307.4,399.7,524.6,474.0
03.2 Alphabétisation,0.2,0.2,0.2,0.5,0.5,0.4,0.4,0.3,0.6,0.6
"03.3 Secondaire général, technique et professionnel",67.8,83.0,83.8,74.2,74.8,87.7,291.8,320.9,371.2,416.3
03.4 Enseignement supérieur et recherche scientifique,96.8,93.7,114.5,117.0,140.0,156.1,149.2,198.0,220.0,242.5
03.5 Programme Présidentiel d'Urgence / Volet Education,0.0,0.0,0.0,11.7,36.9,43.5,46.5,46.5,43.5,0.0
04 Santé,98.3,118.4,113.6,120.2,169.2,197.9,228.9,279.5,352.4,388.8
04.00 Administration générale santé,45.6,45.8,47.7,49.2,63.9,71.4,121.8,133.4,159.4,165.0
04.01 Système de santé primaire,23.8,30.7,30.0,25.2,47.5,70.5,47.9,62.3,77.7,101.6
04.02 Soins de santé préventive (programme élargie de vaccination),1.2,1.9,1.4,0.4,2.3,1.6,1.2,2.9,2.9,2.8
04.03 Programme de lutte contre les pathologies et les endémies,1.1,1.7,1.5,1.1,3.9,1.7,1.4,5.3,37.9,20.6
"04.04 Santé infantile, maternelle et nutrition",0.3,0.8,0.4,0.4,1.4,0.8,0.7,10.7,2.0,13.3
04.05 VIH/SIDA,4.3,10.8,5.9,6.9,6.4,1.6,1.6,1.8,4.5,24.0
04.06 CHU et Institutions médico-spécialisés,22.0,26.6,26.6,25.7,31.8,32.3,34.3,43.1,48.0,61.5
04.07 Programme Présidentiel d'Urgence / Volet Santé,0.0,0.0,0.0,11.3,12.0,18.0,20.0,20.0,20.0,0.0
05 Eau et Assainissement,15.3,20.4,19.8,36.3,49.5,118.4,146.6,74.8,85.6,121.5
05.1 Accès à l'eau potable et assainissement,5.0,4.9,6.0,10.2,10.8,69.9,103.0,32.5,38.8,79.9
05.2 Protection de l'environnement et lutte contre la pollution,10.4,15.5,13.8,13.1,22.4,24.0,16.6,15.3,16.8,41.6
05.4 Programme Présidentiel d'Urgence / Volet Salubrité et Assainissement,0.0,0.0,0.0,13.0,8.0,11.5,13.5,13.5,13.5,0.0
05.5 Programme Présidentiel d'Urgence / Volet Eau Potable,0.0,0.0,0.0,0.0,8.2,13.0,13.5,13.5,16.5,0.0
"",,,,,,,,,,0.0
06 Energie,9.6,16.5,9.7,8.8,18.7,25.5,50.6,53.6,38.4,76.1
06.1 Accès à l'électricité,9.6,16.5,9.7,8.8,10.7,12.5,37.1,40.1,24.9,76.1
06.2 Programme Présidentiel d'Urgence / Volet Electricité,0.0,0.0,0.0,0.0,8.0,13.0,13.5,13.5,13.5,0.0
"",,,,,,,,,,0.0
07 Routes et ouvrages d'art,20.3,39.1,45.4,33.4,51.3,80.2,138.6,155.6,120.7,196.1
07.1 Entretiens pistes rurales,0.0,0.5,2.4,2.1,2.3,8.7,4.4,7.3,6.9,7.2
07.2 Constructions d'ouvrages d'art,1.4,3.0,2.5,1.1,4.0,5.6,11.7,12.1,20.8,7.3
07.3 Autres travaux routiers,18.9,35.6,40.6,22.2,34.1,49.9,122.5,108.0,68.0,181.6
07.4 Programme Présidentiel d'Urgence / Volet Entretien et Aménagement,0.0,0.0,0.0,8.0,11.0,16.0,0.0,28.2,25.0,0.0
"",,,,,,,,,,0.0
08 Affaires Sociales,9.2,13.6,15.0,24.7,20.0,24.3,25.3,28.8,24.1,34.1
08.0 Administration générale,6.4,8.6,9.8,8.9,15.0,19.1,19.5,23.1,17.8,25.1
08.1 Formations destinées aux femmes,0.3,0.6,0.7,0.5,0.7,0.6,1.1,0.5,0.5,0.7
"08.2 Orphelinats, pouponnières et centres sociaux",0.6,1.5,2.0,1.9,2.1,2.3,2.2,2.9,3.1,4.0
08.3 Formation au personnel d'appui,1.2,1.7,1.9,1.6,1.6,1.9,2.1,1.9,1.8,1.8
"08.4 Prise en charge des indigents, des victimes de guerre et de catastrophes",0.7,1.2,0.5,11.8,0.5,0.4,0.4,0.3,0.9,2.5
"",0.0,0.0,,,,,,,,0.0
09 Décentralisation,30.1,35.1,32.0,29.0,31.7,34.5,54.9,48.0,58.2,63.3
09.1 Décentralisation,30.1,35.1,32.0,29.0,31.7,34.5,54.9,48.0,58.2,63.3
"",,,,,,,,,,0.0
10 Reconstructions et réhabilitations,10.4,1.4,2.6,5.6,0.3,2.9,1.5,14.2,5.2,15.9
10.1 Reconstruction et réhabilitation,10.4,1.4,2.6,4.6,0.3,0.1,0.0,0.1,0.2,0.4
10.2 Habitat et logement sociaux,0.0,0.0,0.0,1.0,0.0,2.9,1.5,14.1,5.0,15.5
"",,,,,,,,,,0.0
11 Autres domaines de lutte contre la pauvreté,4.1,9.6,11.9,16.2,13.0,7.9,8.0,3.1,11.2,36.0
11.1 Promotion et insertion des jeunes,2.8,8.4,8.9,13.7,7.6,5.4,6.3,1.2,8.7,32.1
11.2 Appui et suivi DSRP,0.1,0.3,0.2,0.4,0.5,0.2,0.1,0.1,0.5,1.0
11.3 Développement du tourisme et de l'artisanat,1.2,0.9,2.8,2.0,4.9,2.3,1.6,1.8,2.0,2.9
"",,,,,,,,,,0.0
TOTAL,726.8,843.0,885.2,843.4,"1,080.3","1,337.1","1,622.4","1,770.2","1,998.5","2,216.8"
"",,16.0%,5.0%,-4.7%,28.1%,23.8%,21.3%,9.1%,12.9%,10.9%
