id_zone,INSEE_C,LIBGEO,EPCI,DEP,REG,loypredm2,lwr.IPm2,upr.IPm2,TYPPRED,nbobs_com,nbobs_mail,R2_adj
1228,33249,Lormont,243300316,33,75.0,142581583548188.0,12357285679235.0,164514348011476.0,commune,1377.0,1404.0,723013461669465.0
1247,33376,Saint-Aubin-de-Médoc,243300316,33,75.0,135554160596829.0,118318349186913.0,155300767644106.0,maille,32.0,974.0,642434066109079.0
1247,33519,Le Taillan-Médoc,243300316,33,75.0,145864426367131.0,127471466749024.0,166911320800153.0,commune,179.0,974.0,642434066109079.0
1247,33200,Le Haillan,243300316,33,75.0,147699222170749.0,129096321295124.0,168982818495451.0,commune,740.0,974.0,642434066109079.0
1266,33162,Eysines,243300316,33,75.0,148761661989421.0,13093630369517.0,169013722346822.0,commune,1250.0,1250.0,655960195533308.0
1277,33167,Floirac,243300316,33,75.0,146049892801232.0,122878052310932.0,173591384190208.0,commune,566.0,658.0,650836108163501.0
1318,33096,Carbon-Blanc,243300316,33,75.0,148568981990163.0,126178053013717.0,174933293725764.0,commune,117.0,565.0,784597584976739.0
1318,33004,Ambès,243300316,33,75.0,120695205907409.0,102850916308429.0,141635420002942.0,commune,160.0,565.0,784597584976739.0
1318,33003,Ambarès-et-Lagrave,243300316,33,75.0,146934727371684.0,124569197853021.0,173315831520928.0,commune,209.0,565.0,784597584976739.0
1322,33013,Artigues-près-Bordeaux,243300316,33,75.0,144210609372389.0,126283463812136.0,16468268471392.0,commune,358.0,701.0,702829173943376.0
1327,33449,Saint-Médard-en-Jalles,243300316,33,75.0,150222801960836.0,129938624780229.0,173673457504518.0,commune,688.0,846.0,625470015394701.0
1399,33550,Villenave-d'Ornon,243300316,33,75.0,137422702008616.0,119936319252019.0,157458550880374.0,commune,1790.0,1977.0,719944429616735.0
1451,33063,Bordeaux,243300316,33,75.0,177072149260994.0,138258872337488.0,226781439149682.0,commune,31808.0,35464.0,609933135175862.0
1451,33281,Mérignac,243300316,33,75.0,166314695477889.0,12982729355201.0,213056724631034.0,commune,3656.0,35464.0,609933135175862.0
1455,33318,Pessac,243300316,33,75.0,166394325662521.0,130909658851302.0,211497546137022.0,commune,2840.0,2931.0,543387687882587.0
1464,33273,Martignas-sur-Jalle,243300316,33,75.0,1461171760566.0,123191886508427.0,173308727903076.0,commune,160.0,620.0,568951956389154.0
1468,33192,Gradignan,243300316,33,75.0,162818645730085.0,138882954289069.0,190879518174718.0,commune,1716.0,1893.0,822138515345329.0
1487,33075,Bruges,243300316,33,75.0,157743793510384.0,134017451226895.0,185670628438673.0,commune,781.0,781.0,611396858061722.0
1637,33119,Cenon,243300316,33,75.0,147519090620488.0,125414212072976.0,173520063936876.0,commune,1158.0,1158.0,606148507652093.0
1693,33522,Talence,243300316,33,75.0,168044877463925.0,138831402242646.0,203405572411564.0,commune,4473.0,4473.0,682592350161399.0
1728,33434,Saint-Louis-de-Montferrand,243300316,33,75.0,131282526813952.0,118191996346243.0,145822918467051.0,maille,52.0,513.0,693292410995501.0
1728,33032,Bassens,243300316,33,75.0,138116340658255.0,124402798781288.0,153341594752741.0,commune,461.0,513.0,693292410995501.0
466,33487,Saint-Vincent-de-Paul,243300316,33,75.0,122515070897659.0,105206784005881.0,142670862329747.0,maille,8.0,1124.0,712032250642112.0
524,33069,Le Bouscat,243300316,33,75.0,166968612337077.0,13728506603249.0,203070285147924.0,commune,805.0,805.0,585524812720645.0
804,33065,Bouliac,243300316,33,75.0,156293226054932.0,130290248834681.0,187485807488579.0,maille,83.0,1301.0,622346175625823.0
804,33039,Bègles,243300316,33,75.0,159341990027855.0,133001375726065.0,19089930196159.0,commune,1077.0,1301.0,622346175625823.0
946,33056,Blanquefort,243300316,33,75.0,147349932378636.0,124232522567969.0,174769071119117.0,commune,497.0,880.0,670670941480351.0
946,33312,Parempuyre,243300316,33,75.0,142796542642544.0,12034903054946.0,169430966727098.0,commune,226.0,880.0,670670941480351.0
